NAME,b1,a1,b2,a2,b3,a3,b4,a4,b5,a5,b6,a6,b7,a7,b8,a8,b9,a9,b10,a10,b11,a11,b12,a12,b13,a13,b14,a14,b15,a15,beam
MQXA.3L8,0.0,0.0,0.029318422536009678,0.0,0.045370743877525294,0.026823869966878383,0.00843490367461302,0.04978936030920662,0.016743344946575044,0.010512678060323162,0.08421004928154359,1.3877787807814457e-17,3.469446951953614e-18,3.469446951953614e-18,2.7755575615628914e-17,6.938893903907228e-18,6.938893903907228e-18,6.938893903907228e-18,4.163336342344337e-17,2.6020852139652106e-18,8.673617379884035e-18,5.204170427930421e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MQXB.B2L8,0.0,0.0,0.04503540274051072,0.0,0.012313228658641897,0.018903171691544252,2.7755575615628914e-17,0.015196483145780799,0.009877023843243472,0.0038108266819680972,0.013125924729328596,0.03722705467801608,2.0816681711721685e-17,4.85722573273506e-17,1.3877787807814457e-17,3.469446951953614e-18,6.505213034913027e-19,3.469446951953614e-18,6.938893903907228e-18,3.469446951953614e-18,5.204170427930421e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MQXB.A2L8,0.0,0.0,0.04503540274051072,0.0,0.01410113116030059,0.01923876295399471,2.220446049250313e-16,0.01556525296935453,0.010294051680460907,0.003457802770546639,0.016692737941991432,0.03833572094013624,7.632783294297951e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.0408340855860843e-17,3.469446951953614e-18,1.0408340855860843e-17,2.7755575615628914e-17,1.3877787807814457e-17,1.3010426069826053e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MQXA.1L8,0.0,0.0,0.031201608932873964,0.0,0.05042385447384997,0.03296961631563219,0.007711361747447703,0.04833568454051313,0.015694903631433995,0.010442394361447954,0.07248020419397286,5.204170427930421e-17,2.6020852139652106e-18,2.168404344971009e-18,1.6653345369377348e-16,1.3010426069826053e-18,6.505213034913027e-19,2.168404344971009e-18,5.551115123125783e-17,5.204170427930421e-18,5.204170427930421e-18,2.6020852139652106e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MQXA.1R8,0.0,0.0,0.030386839256493922,0.0,0.044292432762267644,0.030026286816721117,0.007551496540421643,0.05329736954109462,0.01756873359124101,0.010326354632686215,0.07500134598792212,2.168404344971009e-18,3.469446951953614e-18,0.0,2.498001805406602e-16,4.336808689942018e-18,6.938893903907228e-18,5.204170427930421e-18,1.1102230246251565e-16,4.336808689942018e-18,2.168404344971009e-18,4.336808689942018e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MQXB.A2R8,0.0,0.0,0.04283850954456748,0.0,0.01271035404699648,0.017025862680052344,4.996003610813204e-16,0.014279131626257952,0.009418805656769867,0.003488996990540403,0.014369338885279309,0.03860035621597293,2.6020852139652106e-18,8.673617379884035e-18,1.3877787807814457e-17,6.938893903907228e-18,4.336808689942018e-18,3.469446951953614e-18,5.204170427930421e-18,4.85722573273506e-17,5.204170427930421e-18,2.168404344971009e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MQXB.B2R8,0.0,0.0,0.04283850954456748,0.0,0.012743139330635917,0.016598361364905882,4.440892098500626e-16,0.014979115461201297,0.009662685961988,0.0037992630864418877,0.014003838759425936,0.0401633800868403,4.163336342344337e-17,2.7755575615628914e-17,3.8163916471489756e-17,6.938893903907228e-18,8.673617379884035e-18,5.204170427930421e-18,4.336808689942018e-18,5.204170427930421e-18,3.469446951953614e-18,6.505213034913027e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MQXA.3R8,0.0,0.0,0.029834885620695785,0.0,0.045632307633956,0.03098962891033063,0.008400000000000001,0.04387770618434834,0.01645945321084513,0.011474018476540818,0.07829570294722439,5.551115123125783e-17,2.6020852139652106e-18,5.204170427930421e-18,4.163336342344337e-17,6.938893903907228e-18,1.3010426069826053e-18,2.168404344971009e-18,1.734723475976807e-17,0.0,2.168404344971009e-18,6.505213034913027e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MQXA.3L1,0.0,0.0,0.031570308835993356,0.0,0.041141385489552984,0.028486059748585802,0.008773112332576131,0.056401822665584134,0.015989681047475585,0.010995139835400004,0.06635850812066227,3.469446951953614e-18,6.938893903907228e-18,3.469446951953614e-18,1.3010426069826053e-18,5.204170427930421e-18,6.505213034913027e-19,6.505213034913027e-19,4.85722573273506e-17,0.0,0.0,6.505213034913027e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MQXB.B2L1,0.0,0.0,0.0443882146520898,0.0,0.013309676930714734,0.01803184682721102,2.0816681711721685e-16,0.014785868253166596,0.009831963181379395,0.0033113592375337364,0.014581697432055023,0.03511987898612408,5.204170427930421e-18,2.6020852139652106e-18,2.7755575615628914e-17,1.3877787807814457e-17,6.505213034913027e-19,2.168404344971009e-18,5.204170427930421e-18,2.168404344971009e-18,4.336808689942018e-18,6.505213034913027e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MQXB.A2L1,0.0,0.0,0.0443882146520898,0.0,0.012207092200847822,0.020290529810726946,3.0531133177191805e-16,0.015521659060809188,0.010169223175837966,0.004273359334294275,0.015837585043181297,0.03710338394270798,5.204170427930421e-18,2.0816681711721685e-17,2.7755575615628914e-17,2.7755575615628914e-17,6.938893903907228e-18,6.938893903907228e-18,2.168404344971009e-18,6.938893903907228e-18,3.469446951953614e-18,1.3010426069826053e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MQXA.1L1,0.0,0.0,0.030779374587538325,0.0,0.04551465258573332,0.03175329274264324,0.008504181324501502,0.05974737149030073,0.01655309940766381,0.012043566747438235,0.07454399707555263,5.204170427930421e-17,2.6020852139652106e-18,2.168404344971009e-18,9.71445146547012e-17,1.3010426069826053e-18,6.505213034913027e-19,2.168404344971009e-18,5.551115123125783e-17,5.204170427930421e-18,5.204170427930421e-18,2.6020852139652106e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
